Found 8 experiments:
  - baseline/exp1_baseline
  - cat/exp1_cat0_0_levels
  - cat/exp1_cat1_1_levels
  - cat/exp1_cat2_2_levels
  - cat/exp1_cat3_3_levels
  - cat/exp1_cat4_4_levels
  - cat/exp1_cat5_5_levels
  - cat/exp1_cat6_6_levels

====================================================================================================
Top 2 Methods by PSNR for Each Image
====================================================================================================
Index    #1 Method                              PSNR1  #2 Method                              PSNR2
178      cat/exp1_cat3_3_levels                 39.38  cat/exp1_cat2_2_levels                 39.22
179      cat/exp1_cat2_2_levels                 38.69  cat/exp1_cat3_3_levels                 38.57
180      cat/exp1_cat4_4_levels                 35.81  cat/exp1_cat6_6_levels                 35.72
181      cat/exp1_cat5_5_levels                 37.80  cat/exp1_cat3_3_levels                 37.75
182      cat/exp1_cat0_0_levels                 37.48  cat/exp1_cat5_5_levels                 37.40
183      cat/exp1_cat1_1_levels                 39.21  cat/exp1_cat3_3_levels                 39.20
184      cat/exp1_cat4_4_levels                 39.76  cat/exp1_cat3_3_levels                 39.75
185      cat/exp1_cat5_5_levels                 37.71  cat/exp1_cat2_2_levels                 37.58
186      cat/exp1_cat4_4_levels                 39.27  cat/exp1_cat2_2_levels                 39.25
187      cat/exp1_cat4_4_levels                 37.54  cat/exp1_cat5_5_levels                 37.41
188      cat/exp1_cat2_2_levels                 39.75  cat/exp1_cat3_3_levels                 39.72
189      cat/exp1_cat2_2_levels                 32.71  cat/exp1_cat4_4_levels                 32.51
190      cat/exp1_cat3_3_levels                 40.19  cat/exp1_cat5_5_levels                 40.15
191      cat/exp1_cat2_2_levels                 41.31  cat/exp1_cat3_3_levels                 41.21
192      cat/exp1_cat2_2_levels                 39.84  cat/exp1_cat3_3_levels                 39.74
193      cat/exp1_cat5_5_levels                 36.61  cat/exp1_cat3_3_levels                 36.56
194      baseline/exp1_baseline                 37.49  cat/exp1_cat0_0_levels                 37.30
195      cat/exp1_cat4_4_levels                 39.08  cat/exp1_cat2_2_levels                 38.93
196      cat/exp1_cat4_4_levels                 40.26  cat/exp1_cat2_2_levels                 40.25
197      cat/exp1_cat5_5_levels                 37.65  cat/exp1_cat0_0_levels                 37.64
198      cat/exp1_cat3_3_levels                 40.27  cat/exp1_cat5_5_levels                 40.24
199      cat/exp1_cat5_5_levels                 37.77  cat/exp1_cat3_3_levels                 37.63

====================================================================================================
Summary: Win counts (how many times each method was #1 or #2)
====================================================================================================
Method                                      #1 Wins    #2 Wins      Total
----------------------------------------------------------------------
cat/exp1_cat5_5_levels                           57         50        107
cat/exp1_cat4_4_levels                           53         29         82
cat/exp1_cat3_3_levels                           29         46         75
cat/exp1_cat2_2_levels                           23         37         60
cat/exp1_cat1_1_levels                           10         21         31
cat/exp1_cat0_0_levels                           11          7         18
baseline/exp1_baseline                           11          4         15
cat/exp1_cat6_6_levels                            6          6         12
